period_start,crime_head,cases_reported,geography,source,source_url,data_classification,licence
2024-05-01,Burglary,494.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-06-01,Burglary,513.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-07-01,Burglary,429.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-08-01,Burglary,429.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-09-01,Burglary,373.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-10-01,Burglary,484.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-11-01,Burglary,421.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2024-12-01,Burglary,427.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-01-01,Cyber Fraud,109.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-02-01,Cyber Fraud,96.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-03-01,Cyber Fraud,113.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-04-01,Cyber Fraud,92.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
2021-05-01,Cyber Fraud,78.0,Karnataka (State),Kaggle: Karnataka Crime Review 2021-2024 (Aayush Rokade),https://www.kaggle.com/datasets/aayushrokade/crime-review-of-karnataka-2021-2024,public_aggregate,CC0 (Kaggle)
