district_normalized,year,crime_head,data_source,data_classification,cases_reported
Chitradurga,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,702
Chitradurga,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,83
Chitradurga,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,118
Chitradurga,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,121
Chitradurga,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,80
Chitradurga,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2
Chitradurga,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,4
Chitradurga,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,53
Chitradurga,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,413
Chitradurga,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,512
Chitradurga,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,398
Chitradurga,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,30
Chitradurga,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1280
Chitradurga,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,147
Chitradurga,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,110
Chitradurga,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,17
Chitradurga,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,218
Chitradurga,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,25
Chitradurga,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,55
Chitradurga,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,443
Chitradurga,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,4098
Chitradurga,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1740
Dakshina Kannada,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1835
Dakshina Kannada,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,375
Dakshina Kannada,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,192
Dakshina Kannada,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,30
Dakshina Kannada,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,70
Dakshina Kannada,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,31
Dakshina Kannada,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,115
Dakshina Kannada,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1
Dakshina Kannada,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,0
Dakshina Kannada,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2
Dakshina Kannada,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,148
Dakshina Kannada,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,17
Dakshina Kannada,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,73
Dakshina Kannada,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,12
Dakshina Kannada,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,707
Dakshina Kannada,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,68
Dakshina Kannada,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,37
Dakshina Kannada,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,8
Dakshina Kannada,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,31
Dakshina Kannada,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,10
Dakshina Kannada,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,27
Dakshina Kannada,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,164
Dakshina Kannada,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1816
Dakshina Kannada,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,417
Davanagere,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,3755
Davanagere,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1170
Davanagere,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,326
Davanagere,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,84
Davanagere,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,182
Davanagere,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,59
Davanagere,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,143
Davanagere,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,7
Davanagere,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,5
Davanagere,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,72
Davanagere,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,283
Davanagere,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,484
Davanagere,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,194
Davanagere,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,27
Davanagere,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,746
Davanagere,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,107
Davanagere,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,77
Davanagere,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,24
Davanagere,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,171
Davanagere,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,48
